ZANSKAR_ID,TOKEN,CATEGORY,EXCH_TICKER,ZANSKAR_NAME,DERIVATIVE_TYPE,EXPIRY_DATE,EXPIRY_EXCHANGE,EXPIRY_TAG,UNDERLYING_ASSET,STREAM_ID,STRIKE_PRICE,LOT_SIZE,TICK_SIZE,PREV_HIGH_PRICE_RANGE,PREV_LOW_PRICE_RANGE,PREV_HIGH,PREV_LOW,PREV_CLOSE,PREV_LAST,PREV_SETTLEMENT,PREV_OPEN_INTEREST,UNDERLYING_PREV_CLOSE,ISIN,SERIES
33,101664,STOCKS,AIAENG,STOCK_AIAENG_MSE.CM.EQ,STOCK,N/A,0,N/A,AIAENG,1,,1,5,404900.0,269940.0,0.0,0.0,3638.2,0.0,3638.2,0,3691.4,INE212H01026,EQ
34,101667,STOCKS,GVPIL,STOCK_GVPIL_MSE.CM.EQ,STOCK,N/A,0,N/A,GVPIL,1,,1,5,30700.0,20470.0,0.0,0.0,311.7,0.0,311.7,0,314.1,INE878A01011,EQ
35,110494,STOCKS,GVPIL,STOCK_GVPIL_MSE.CM.BE,STOCK,N/A,0,N/A,GVPIL,1,,1,5,43450.0,28970.0,0.0,0.0,311.7,0.0,311.7,0,314.1,INE878A01011,BE
36,101670,STOCKS,AJANTPHARM,STOCK_AJANTPHARM_MSE.CM.EQ,STOCK,N/A,0,N/A,AJANTPHARM,1,,1,5,311025.0,207355.0,0.0,0.0,2651.4,0.0,2651.4,0,2654.4,INE031B01049,EQ
37,101671,STOCKS,AJMERA,STOCK_AJMERA_MSE.CM.EQ,STOCK,N/A,0,N/A,AJMERA,1,,1,5,96260.0,64180.0,0.0,0.0,1003.5,0.0,1003.5,0,993.1,INE298G01027,EQ
38,104729,STOCKS,AJMERA,STOCK_AJMERA_MSE.CM.BE,STOCK,N/A,0,N/A,AJMERA,1,,1,5,83970.0,55980.0,0.0,0.0,1003.5,0.0,1003.5,0,993.1,INE298G01027,BE
39,101675,STOCKS,AKSHOPTFBR,STOCK_AKSHOPTFBR_MSE.CM.EQ,STOCK,N/A,0,N/A,AKSHOPTFBR,1,,1,5,1295.0,1175.0,0.0,0.0,6.55,0.0,6.55,0,6.65,INE523B01011,EQ
40,104692,STOCKS,AKSHOPTFBR,STOCK_AKSHOPTFBR_MSE.CM.BE,STOCK,N/A,0,N/A,AKSHOPTFBR,1,,1,5,1020.0,930.0,0.0,0.0,6.55,0.0,6.55,0,6.65,INE523B01011,BE
41,101679,STOCKS,AKZOINDIA,STOCK_AKZOINDIA_MSE.CM.EQ,STOCK,N/A,0,N/A,AKZOINDIA,1,,1,5,416145.0,277435.0,0.0,0.0,3549.8,0.0,3549.8,0,3516.5,INE133A01011,EQ
42,101686,STOCKS,ALEMBICLTD,STOCK_ALEMBICLTD_MSE.CM.EQ,STOCK,N/A,0,N/A,ALEMBICLTD,1,,1,5,13440.0,8960.0,0.0,0.0,99.0,0.0,99.0,0,97.7,INE426A01027,EQ
