ZANSKAR_ID,TOKEN,CATEGORY,EXCH_TICKER,ZANSKAR_NAME,DERIVATIVE_TYPE,EXPIRY_DATE,EXPIRY_EXCHANGE,EXPIRY_TAG,UNDERLYING_ASSET,STREAM_ID,STRIKE_PRICE,LOT_SIZE,TICK_SIZE,PREV_HIGH_PRICE_RANGE,PREV_LOW_PRICE_RANGE,PREV_HIGH,PREV_LOW,PREV_CLOSE,PREV_LAST,PREV_SETTLEMENT,PREV_OPEN_INTEREST,UNDERLYING_PREV_CLOSE,ISIN,SERIES
688,102240,STOCKS,MUNJALSHOW,STOCK_MUNJALSHOW_MSE.CM.EQ,STOCK,N/A,0,N/A,MUNJALSHOW,1,,1,5,17010.0,11340.0,0.0,0.0,123.1,0.0,123.1,0,125.4,INE577A01027,EQ
689,104615,STOCKS,RAMKY,STOCK_RAMKY_MSE.CM.BE,STOCK,N/A,0,N/A,RAMKY,1,,1,5,19485.0,12995.0,0.0,0.0,544.0,0.0,544.0,0,554.75,INE874I01013,BE
690,102908,STOCKS,RAMKY,STOCK_RAMKY_MSE.CM.EQ,STOCK,N/A,0,N/A,RAMKY,1,,1,5,56880.0,37920.0,0.0,0.0,544.0,0.0,544.0,0,554.75,INE874I01013,EQ
691,102242,STOCKS,MURUDCERA,STOCK_MURUDCERA_MSE.CM.EQ,STOCK,N/A,0,N/A,MURUDCERA,1,,1,5,4905.0,3275.0,0.0,0.0,35.05,0.0,35.05,0,35.15,INE692B01014,EQ
692,104868,STOCKS,MURUDCERA,STOCK_MURUDCERA_MSE.CM.BE,STOCK,N/A,0,N/A,MURUDCERA,1,,1,5,6350.0,4240.0,0.0,0.0,35.05,0.0,35.05,0,35.15,INE692B01014,BE
693,102424,STOCKS,HEROMOTOCO,STOCK_HEROMOTOCO_MSE.CM.EQ,STOCK,N/A,0,N/A,HEROMOTOCO,1,,1,5,479530.0,392350.0,0.0,0.0,5985.5,0.0,5985.5,0,5933.0,INE158A01026,EQ
694,102246,STOCKS,MUTHOOTFIN,STOCK_MUTHOOTFIN_MSE.CM.EQ,STOCK,N/A,0,N/A,MUTHOOTFIN,1,,1,5,230450.0,188550.0,0.0,0.0,3921.0,0.0,3921.0,0,3820.8,INE414G01012,EQ
695,102182,STOCKS,FMNL,STOCK_FMNL_MSE.CM.EQ,STOCK,N/A,0,N/A,FMNL,1,,1,5,1135.0,1095.0,0.0,0.0,8.9,0.0,8.9,0,8.85,INE360L01017,EQ
696,104670,STOCKS,FMNL,STOCK_FMNL_MSE.CM.BE,STOCK,N/A,0,N/A,FMNL,1,,1,5,1570.0,1510.0,0.0,0.0,8.9,0.0,8.9,0,8.85,INE360L01017,BE
697,102915,STOCKS,RANEHOLDIN,STOCK_RANEHOLDIN_MSE.CM.EQ,STOCK,N/A,0,N/A,RANEHOLDIN,1,,1,5,175390.0,116930.0,0.0,0.0,1447.5,0.0,1447.5,0,1399.4,INE384A01010,EQ
