TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd01,Rsvd02,Rsvd03,Rsvd04
2026-01-06,2026-01-06,CM,MSE,STK,,,NV20BEES,EQ,,,,,,0.00,0.00,0.00,156.65,0.00,155.71,,156.65,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,NYKAA,EQ,,,,,,0.00,0.00,0.00,269.05,0.00,269.55,,269.05,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,OAL,EQ,,,,,,0.00,0.00,0.00,283.20,0.00,284.80,,283.20,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,OBCL,EQ,,,,,,0.00,0.00,0.00,55.00,0.00,55.00,,55.00,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,OBEROIRLTY,EQ,,,,,,0.00,0.00,0.00,1726.30,0.00,1740.00,,1726.30,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,OCCLLTD,EQ,,,,,,0.00,0.00,0.00,101.40,0.00,101.35,,101.40,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,OCTAVIUSPL,EQ,,,,,,0.00,0.00,0.00,43.50,0.00,41.55,,43.50,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,ODIGMA,EQ,,,,,,0.00,0.00,0.00,31.40,0.00,31.75,,31.40,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,ODYSSEY,EQ,,,,,,0.00,0.00,0.00,64.50,0.00,64.60,,64.50,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,OEGIL,EQ,,,,,,0.00,0.00,0.00,25.70,0.00,25.70,,25.70,,,0,0.00,0,F1,1,,,,,
